company,stage,country,longitude,latitude,precision
Hyundai Motor Group,Electric car/scooter manufacturing,South Korea,129.382209,35.535762,exact_stage
JV Company,Battery pack manufacturing,China,121.257177,30.32902,exact_stage
LG Energy Solution (LGES),Battery pack manufacturing,South Korea,126.92714,37.526758,exact_stage
Ford Motor Company,Electric car/scooter manufacturing,China,106.588687,29.680752,exact_stage
General Motors Co.,Electric car/scooter manufacturing,United States,-83.260932,42.715625,exact_stage
Honda Motor Co. Ltd.,Electric car/scooter manufacturing,Japan,139.723794,35.672388,exact_stage
Mahindra Group,Battery pack manufacturing,India,77.661503,12.809736,exact_stage
Mahindra Group,Electric car/scooter manufacturing,USA,-121.937185,37.470711,exact_stage
Mercedes-Benz,Battery pack manufacturing,Germany,14.096562,51.297866,exact_stage
Renault Group,Battery pack manufacturing,France,1.048,49.315496,exact_stage
Renault Group,Electric car/scooter manufacturing,France,2.228314,48.831531,exact_stage
Volkswagen Group,Battery pack manufacturing,Germany,12.488377,50.791095,exact_stage
Volkswagen Group,Electric car/scooter manufacturing,Germany,12.488377,50.791095,exact_stage
Volvo Car Group,Battery pack manufacturing,Belgium,3.752181,51.102217,exact_stage
Volvo Car Group,Electric car/scooter manufacturing,Sweden,11.849646,57.726121,exact_stage
Renault–Nissan–Mitsubishi Alliance,Battery pack manufacturing,United Kingdom,-1.466399,54.918991,exact_stage
Renault–Nissan–Mitsubishi Alliance,Electric car/scooter manufacturing,United States,-86.489128,35.966211,exact_stage
SAIC Motor,Battery pack manufacturing,China,121.189688,31.278512,exact_stage
SAIC Motor,Electric car/scooter manufacturing,China,121.189688,31.278512,exact_stage
Dangsheng Technology,Cathode manufacturing,China,116.285811,39.819007,exact_stage
Samsung SDI,Battery cell manufacturing,Hungary,19.167547,47.679355,exact_stage
Huayou Cobalt,Cathode manufacturing,China,120.355358,31.540761,exact_stage
BYD Co. Ltd.,Battery cell manufacturing,China,114.358867,22.679254,exact_stage
LG Energy Solution (LGES),Battery cell manufacturing,South Korea,126.92714,37.526758,exact_stage
Tesla Inc.,Battery cell manufacturing,USA,-97.618947,30.222882,exact_stage
L&F,Cathode manufacturing,South Korea,128.515629,35.826254,exact_stage
LG Energy Solution (LGES),Cathode manufacturing,USA,-86.069464,42.756406,exact_stage
POSCO,Cathode manufacturing,South Korea,127.601159,34.89729,exact_stage
"ProLogium Technology Co., Ltd.",Battery cell manufacturing,Taiwan,121.242395,24.968254,exact_stage
"ProLogium Technology Co., Ltd.",Battery pack manufacturing,Taiwan,121.242395,24.968254,exact_stage
"Gogoro, Inc.",Electric car/scooter manufacturing,Taiwan,121.361893,25.046307,exact_stage
Ronbay Technology Battery,Cathode manufacturing,China,121.166468,30.024353,exact_stage
Farasis Energy,Battery cell manufacturing,China,114.847894,25.840251,exact_stage
Miringi,source,Democratic Republic of the Congo,26.175978,-11.095608,exact_company
Congo Dongfang Mining (CDM),source,Democratic Republic of the Congo,27.478643,-11.585547,exact_company
